"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Tucker Kraft","Packers","TE","9","-1.12","-0.024","-2.35","-0.050","2.30","0.26","44.4%","0.0","0.0","11.1%","0.0%"
"[object Object]","2026","Isaac TeSlaa","Lions","WR","6","-1.12","-0.018","-2.51","-0.041","0.49","0.08","33.3%","0.0","0.0","16.7%","0.0%"
"[object Object]","2026","Terry McLaurin","Commanders","WR","13","-1.15","-0.017","-2.65","-0.038","3.20","0.25","30.8%","0.0","0.0","23.1%","0.0%"
"[object Object]","2026","David Njoku","Chargers","TE","8","-1.26","-0.052","-1.94","-0.081","-4.11","-0.51","62.5%","0.0","0.0","0.0%","25.0%"
"[object Object]","2026","Rashid Shaheed","Seahawks","WR","9","-1.33","-0.033","-2.35","-0.059","-4.26","-0.47","11.1%","0.0","0.0","11.1%","33.3%"
"[object Object]","2026","Rachaad White","Commanders","RB","8","-1.37","-0.036","-2.21","-0.058","-1.19","-0.15","37.5%","0.0","0.0","12.5%","12.5%"
"[object Object]","2026","Woody Marks","Texans","RB","7","-1.37","-0.038","-2.09","-0.058","-0.75","-0.11","28.6%","0.0","0.0","14.3%","28.6%"
"[object Object]","2026","Keenan Allen","Colts","WR","11","-1.42","-0.032","-2.57","-0.058","-6.21","-0.56","36.4%","0.0","0.0","0.0%","18.2%"
"[object Object]","2026","Kenyon Sadiq","Jets","TE","6","-1.44","-0.048","-2.11","-0.070","-0.88","-0.15","33.3%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Roman Wilson","Steelers","WR","12","-1.50","-0.023","-2.96","-0.046","-1.36","-0.11","33.3%","0.0","0.0","8.3%","8.3%"
"[object Object]","2026","Skyy Moore","Packers","WR","4","-1.51","-0.079","-2.03","-0.107","-4.62","-1.15","25.0%","0.0","0.0","0.0%","75.0%"
"[object Object]","2026","Carnell Tate","Titans","WR","12","-1.59","-0.031","-3.13","-0.060","-3.52","-0.29","41.7%","0.0","0.0","0.0%","25.0%"
"[object Object]","2026","Cade Otton","Buccaneers","TE","11","-1.60","-0.027","-3.22","-0.054","-0.83","-0.08","36.4%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Colston Loveland","Bears","TE","5","-1.70","-0.029","-2.97","-0.051","-2.98","-0.60","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Tyler Allgeier","Cardinals","RB","4","-1.79","-0.060","-2.62","-0.087","0.25","0.06","50.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Ashton Jeanty","Raiders","RB","14","-1.85","-0.043","-2.86","-0.067","-1.11","-0.08","28.6%","0.0","0.0","14.3%","14.3%"
"[object Object]","2026","DK Metcalf","Steelers","WR","19","-2.04","-0.024","-3.91","-0.046","-8.02","-0.42","36.8%","0.0","0.0","15.8%","31.6%"
"[object Object]","2026","Alvin Kamara","Saints","RB","6","-2.06","-0.229","-2.27","-0.253","-3.30","-0.55","16.7%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Rhamondre Stevenson","Patriots","RB","8","-2.29","-0.056","-3.26","-0.079","-5.05","-0.63","37.5%","0.0","0.0","12.5%","25.0%"
"[object Object]","2026","Mason Taylor","Jets","TE","3","-2.30","-0.064","-3.04","-0.084","-1.60","-0.53","33.3%","0.0","0.0","0.0%","33.3%"
