"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jahdae Barron","Broncos","CB","223","31","5.17","0.024","-2.18","-0.010","15.23","0.49","58.1%","-0.3","-0.0","29.0%","9.7%"
"[object Object]","2025","Nick Bolton","Chiefs","LB","466","33","5.13","0.012","-9.96","-0.023","6.78","0.21","54.5%","-8.7","-0.3","24.2%","18.2%"
"[object Object]","2025","Malachi Moore","Jets","S","480","26","5.08","0.011","-9.89","-0.021","7.00","0.27","46.2%","-7.1","-0.2","34.6%","11.5%"
"[object Object]","2025","Sauce Gardner","2 teams","CB","317","34","5.03","0.016","-4.95","-0.016","5.70","0.17","41.2%","-2.4","-0.1","23.5%","14.7%"
"[object Object]","2025","Paulson Adebo","Giants","CB","426","73","5.02","0.012","-8.90","-0.021","16.65","0.23","57.5%","-5.7","-0.2","20.5%","6.8%"
"[object Object]","2025","Benjamin Morrison","Buccaneers","CB","227","33","4.93","0.022","-3.29","-0.015","9.76","0.30","48.5%","-1.6","-0.0","30.3%","15.2%"
"[object Object]","2025","Amik Robertson","Lions","CB","512","76","4.84","0.010","-11.74","-0.023","28.49","0.37","52.6%","-8.0","-0.2","34.2%","14.5%"
"[object Object]","2025","Nick McCloud","Bears","CB","243","23","4.77","0.020","-3.52","-0.015","16.01","0.70","78.3%","-1.8","-0.1","26.1%","0.0%"
"[object Object]","2025","Jordyn Brooks","Dolphins","LB","458","38","4.53","0.010","-10.18","-0.023","10.36","0.27","60.5%","-8.8","-0.3","15.8%","7.9%"
"[object Object]","2025","Darrell Baker Jr.","Titans","CB","419","52","4.39","0.011","-10.24","-0.025","19.44","0.37","59.6%","-7.2","-0.2","30.8%","11.5%"
"[object Object]","2025","Tyrique Stevenson","Bears","CB","331","47","4.34","0.013","-6.82","-0.021","10.00","0.21","48.9%","-4.4","-0.1","29.8%","17.0%"
"[object Object]","2025","Kyu Blu Kelly","Raiders","CB","329","40","4.34","0.013","-6.40","-0.020","15.25","0.38","60.0%","-4.2","-0.1","30.0%","17.5%"
"[object Object]","2025","Quincy Riley","Saints","CB","364","42","4.33","0.012","-7.64","-0.021","8.69","0.21","40.5%","-4.9","-0.2","23.8%","9.5%"
"[object Object]","2025","Taron Johnson","Bills","CB","334","38","4.29","0.013","-7.36","-0.022","4.22","0.11","44.7%","-5.0","-0.2","23.7%","21.1%"
"[object Object]","2025","Quan Martin","Commanders","S","519","30","4.18","0.008","-12.53","-0.024","15.80","0.53","63.3%","-9.7","-0.3","46.7%","13.3%"
"[object Object]","2025","Logan Wilson","2 teams","LB","313","24","4.05","0.014","-5.54","-0.019","5.40","0.22","62.5%","-4.4","-0.1","25.0%","8.3%"
"[object Object]","2025","Trikweze Bridges","Cowboys","CB","153","27","3.68","0.024","-1.36","-0.009","8.62","0.32","44.4%","-0.2","-0.0","29.6%","18.5%"
"[object Object]","2025","Myles Harden","Browns","CB","319","40","3.28","0.010","-7.65","-0.024","-2.67","-0.07","47.5%","-5.2","-0.2","30.0%","30.0%"
"[object Object]","2025","Cam Hart","Chargers","CB","383","56","3.27","0.009","-10.48","-0.028","22.11","0.39","58.9%","-7.6","-0.2","32.1%","10.7%"
